"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"681","FIL30_492","FIL30_492_M2","FIL30.492.M2","FIL30_492|FIL30_492_M2|FIL30.492.M2",108,35,73,91,27,64,77,55,22,FALSE,FALSE,65,42,23,0.646153846153846,FALSE,"FIL30_492",TRUE,"FIL30_492_M2",39.8162157315148,"Self"
"757","FIL30_493","FIL30_493_M2","FIL30.493.M2","FIL30_493|FIL30_493_M2|FIL30.493.M2",159,32,127,134,1,133,114,114,NA,FALSE,FALSE,109,109,NA,1,TRUE,NA,FALSE,"FIL30_493_M2",38.1065374372957,"Cross"
"241","FIL30_494","FIL30_494_M2","FIL30.494.M2","FIL30_494|FIL30_494_M2|FIL30.494.M2",105,39,66,85,31,54,69,40,29,FALSE,FALSE,62,37,25,0.596774193548387,FALSE,"FIL30_494",TRUE,"FIL30_494_M2",42.6065673677265,"Self"
"2020","FIL30_498","FIL30_498_M2","FIL30.498.M2","FIL30_498|FIL30_498_M2|FIL30.498.M2",128,36,92,104,29,75,83,61,22,FALSE,FALSE,81,54,27,0.666666666666667,FALSE,"FIL30_498",TRUE,"FIL30_498_M2",50.2450249228585,"Self"
"839","FIL30_499","FIL30_499_M2","FIL30.499.M2","FIL30_499|FIL30_499_M2|FIL30.499.M2",114,29,85,107,31,76,89,62,27,FALSE,FALSE,82,55,27,0.670731707317073,FALSE,"FIL30_499",TRUE,"FIL30_499_M2",51.6080256291698,"Self"
"1892","FIL30_5","FIL30_5_M2","FIL30_5_M2-2","FIL30_5|FIL30_5_M2|FIL30_5_M2-2",128,34,94,111,25,86,98,74,24,FALSE,FALSE,89,65,24,0.730337078651685,FALSE,"FIL30_5",TRUE,"FIL30_5_M2_2",34.9755407652261,"Self"
"2976","FIL30_50","FIL30_50_M2","FIL30_50_M2-2","FIL30_50|FIL30_50_M2|FIL30_50_M2-2",82,18,64,71,9,62,62,55,7,FALSE,FALSE,59,52,7,0.88135593220339,FALSE,"FIL30_50",TRUE,"FIL30_50_M2_2",57.9991459969921,"Self"
"2253","FIL30_500","FIL30_500_M2","FIL30.500.M2","FIL30_500|FIL30_500_M2|FIL30.500.M2",97,22,75,86,24,62,72,50,22,FALSE,FALSE,73,52,21,0.712328767123288,FALSE,"FIL30_500",TRUE,"FIL30_500_M2",60.2752623261881,"Self"
"657","FIL30_501","FIL30_501_M2","FIL30.501.M2","FIL30_501|FIL30_501_M2|FIL30.501.M2",84,24,60,71,24,47,59,36,23,FALSE,FALSE,53,35,18,0.660377358490566,FALSE,"FIL30_501",TRUE,"FIL30_501_M2",49.1277349755625,"Self"
"466","FIL30_502","FIL30_502_M2","FIL30.502.M2","FIL30_502|FIL30_502_M2|FIL30.502.M2",96,21,75,83,14,69,51,44,7,FALSE,FALSE,70,60,10,0.857142857142857,FALSE,"FIL30_502",TRUE,"FIL30_502_M2",53.1912312695336,"Self"
"896","FIL30_503","FIL30_503_M2","FIL30.503.M2","FIL30_503|FIL30_503_M2|FIL30.503.M2",107,32,75,91,1,90,51,51,NA,FALSE,FALSE,70,70,NA,1,TRUE,NA,FALSE,"FIL30_503_M2",45.9576487198099,"Cross"
"1208","FIL30_504","FIL30_504_M2","FIL30.504.M2","FIL30_504|FIL30_504_M2|FIL30.504.M2",187,99,88,151,36,115,54,45,9,FALSE,FALSE,81,49,32,0.604938271604938,FALSE,"FIL30_504",TRUE,"FIL30_504_M2",20.2259247268523,"Self"
"1233","FIL30_505","FIL30_505_M2","FIL30.505.M2","FIL30_505|FIL30_505_M2|FIL30.505.M2",129,18,111,113,1,112,30,30,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_505_M2",52.2294978505152,"Cross"
"1335","FIL30_507","FIL30_507_M2","FIL30.507.M2","FIL30_507|FIL30_507_M2|FIL30.507.M2",136,39,97,107,26,81,86,63,23,FALSE,FALSE,82,58,24,0.707317073170732,FALSE,"FIL30_507",TRUE,"FIL30_507_M2",39.3274908297075,"Self"
"226","FIL30_509","FIL30_509_M2","FIL30.509.M2","FIL30_509|FIL30_509_M2|FIL30.509.M2",126,41,85,109,NA,109,87,87,NA,FALSE,FALSE,81,81,NA,1,TRUE,NA,FALSE,"FIL30_509_M2",47.345570314079,"Cross"
"1814","FIL30_510","FIL30_510_M2","FIL30.510.M2","FIL30_510|FIL30_510_M2|FIL30.510.M2",79,20,59,77,39,38,73,35,38,FALSE,FALSE,58,28,30,0.482758620689655,FALSE,"FIL30_510",TRUE,"FIL30_510_M2",73.7982220601687,"Self"
"2877","FIL30_511","FIL30_511_M2","FIL30.511.M2","FIL30_511|FIL30_511_M2|FIL30.511.M2",73,20,53,68,26,42,61,38,23,FALSE,FALSE,51,29,22,0.568627450980392,FALSE,"FIL30_511",TRUE,"FIL30_511_M2",52.0264434087075,"Self"
"1967","FIL30_513","FIL30_513_M2","FIL30.513.M2","FIL30_513|FIL30_513_M2|FIL30.513.M2",87,12,75,83,22,61,77,57,20,FALSE,FALSE,73,51,22,0.698630136986301,FALSE,"FIL30_513",TRUE,"FIL30_513_M2",66.820499650399,"Self"
"1103","FIL30_514","FIL30_514_M2","FIL30.514.M2","FIL30_514|FIL30_514_M2|FIL30.514.M2",74,13,61,69,24,45,62,38,24,FALSE,FALSE,57,37,20,0.649122807017544,FALSE,"FIL30_514",TRUE,"FIL30_514_M2",55.6594219254401,"Self"
"437","FIL30_515","FIL30_515_M2","FIL30.515.M2","FIL30_515|FIL30_515_M2|FIL30.515.M2",124,27,97,115,36,79,109,76,33,FALSE,FALSE,94,65,29,0.691489361702128,FALSE,"FIL30_515",TRUE,"FIL30_515_M2",60.8347545290118,"Self"
"1508","FIL30_516","FIL30_516_M2","FIL30.516.M2","FIL30_516|FIL30_516_M2|FIL30.516.M2",85,20,65,76,18,58,65,47,18,FALSE,FALSE,61,45,16,0.737704918032787,FALSE,"FIL30_516",TRUE,"FIL30_516_M2",49.253371385676,"Self"
"1018","FIL30_517","FIL30_517_M2","FIL30.517.M2","FIL30_517|FIL30_517_M2|FIL30.517.M2",79,13,66,74,16,58,32,29,3,FALSE,FALSE,64,48,16,0.75,FALSE,"FIL30_517",TRUE,"FIL30_517_M2",55.7550644061127,"Self"
"234","FIL30_518","FIL30_518_M2","FIL30.518.M2","FIL30_518|FIL30_518_M2|FIL30.518.M2",100,33,67,84,29,55,68,41,27,FALSE,FALSE,65,36,29,0.553846153846154,FALSE,"FIL30_518",TRUE,"FIL30_518_M2",96.7563315412385,"Self"
"1117","FIL30_519","FIL30_519_M2","FIL30.519.M2","FIL30_519|FIL30_519_M2|FIL30.519.M2",97,15,82,85,24,61,71,53,18,FALSE,FALSE,74,53,21,0.716216216216216,FALSE,"FIL30_519",TRUE,"FIL30_519_M2",85.7979046982663,"Self"
"139","FIL30_52","FIL30_52_M2","FIL30_52_M2-2","FIL30_52|FIL30_52_M2|FIL30_52_M2-2",88,12,76,80,NA,80,64,64,NA,FALSE,FALSE,73,73,NA,1,TRUE,NA,FALSE,"FIL30_52_M2_2",42.7945718106449,"Cross"
"1157","FIL30_521","FIL30_521_M2","FIL30.521.M2","FIL30_521|FIL30_521_M2|FIL30.521.M2",104,18,86,93,33,60,83,53,30,FALSE,FALSE,81,51,30,0.62962962962963,FALSE,"FIL30_521",TRUE,"FIL30_521_M2",41.9276343429443,"Self"
"23","FIL30_522","FIL30_522_M2","FIL30.522.M2","FIL30_522|FIL30_522_M2|FIL30.522.M2",109,27,82,97,18,79,81,68,13,FALSE,FALSE,76,61,15,0.802631578947368,FALSE,"FIL30_522",TRUE,"FIL30_522_M2",41.6813447684835,"Self"
"1061","FIL30_523","FIL30_523_M2","FIL30.523.M2","FIL30_523|FIL30_523_M2|FIL30.523.M2",82,11,71,70,12,58,53,47,6,FALSE,FALSE,60,49,11,0.816666666666667,FALSE,"FIL30_523",TRUE,"FIL30_523_M2",41.7707575285,"Self"
"946","FIL30_524","FIL30_524_M2","FIL30.524.M2","FIL30_524|FIL30_524_M2|FIL30.524.M2",102,25,77,91,15,76,79,66,13,FALSE,FALSE,74,60,14,0.810810810810811,FALSE,"FIL30_524",TRUE,"FIL30_524_M2",47.8794361719461,"Self"
"2071","FIL30_525","FIL30_525_M2","FIL30.525.M2","FIL30_525|FIL30_525_M2|FIL30.525.M2",126,32,94,117,35,82,107,74,33,FALSE,FALSE,92,67,25,0.728260869565217,FALSE,"FIL30_525",TRUE,"FIL30_525_M2",42.5250770211778,"Self"
"1961","FIL30_526","FIL30_526_M2","FIL30.526.M2","FIL30_526|FIL30_526_M2|FIL30.526.M2",103,35,68,84,32,52,65,38,27,FALSE,FALSE,65,35,30,0.538461538461538,FALSE,"FIL30_526",TRUE,"FIL30_526_M2",85.5175560878529,"Self"
"1200","FIL30_527","FIL30_527_M2","FIL30.527.M2","FIL30_527|FIL30_527_M2|FIL30.527.M2",108,45,63,90,29,61,67,40,27,FALSE,FALSE,60,34,26,0.566666666666667,FALSE,"FIL30_527",TRUE,"FIL30_527_M2",40.994687829348,"Self"
"2196","FIL30_528","FIL30_528_M2","FIL30.528.M2","FIL30_528|FIL30_528_M2|FIL30.528.M2",126,39,87,110,29,81,94,68,26,FALSE,FALSE,83,57,26,0.686746987951807,FALSE,"FIL30_528",TRUE,"FIL30_528_M2",49.944899497409,"Self"
"1276","FIL30_529","FIL30_529_M2","FIL30.529.M2","FIL30_529|FIL30_529_M2|FIL30.529.M2",102,28,74,92,7,85,81,74,7,FALSE,FALSE,74,68,6,0.918918918918919,FALSE,NA,FALSE,"FIL30_529_M2",45.7792793957774,"Ambiguous"
"443","FIL30_53","FIL30_53_M2","FIL30_53_M2-2","FIL30_53|FIL30_53_M2|FIL30_53_M2-2",88,18,70,77,19,58,67,51,16,FALSE,FALSE,66,48,18,0.727272727272727,FALSE,"FIL30_53",TRUE,"FIL30_53_M2_2",37.4286927973247,"Self"
"734","FIL30_530","FIL30_530_M2","FIL30.530.M2","FIL30_530|FIL30_530_M2|FIL30.530.M2",88,17,71,73,20,53,64,47,17,FALSE,FALSE,61,43,18,0.704918032786885,FALSE,"FIL30_530",TRUE,"FIL30_530_M2",56.7233022486881,"Self"
"2278","FIL30_531","FIL30_531_M2","FIL30.531.M2","FIL30_531|FIL30_531_M2|FIL30.531.M2",119,29,90,106,23,83,93,71,22,FALSE,FALSE,88,67,21,0.761363636363636,FALSE,"FIL30_531",TRUE,"FIL30_531_M2",40.409111669716,"Self"
"500","FIL30_532","FIL30_532_M2","FIL30.532.M2","FIL30_532|FIL30_532_M2|FIL30.532.M2",108,24,84,99,32,67,88,59,29,FALSE,FALSE,77,51,26,0.662337662337662,FALSE,"FIL30_532",TRUE,"FIL30_532_M2",44.6160812667719,"Self"
"33","FIL30_534","FIL30_534_M2","FIL30.534.M2","FIL30_534|FIL30_534_M2|FIL30.534.M2",123,33,90,111,34,77,99,67,32,FALSE,FALSE,86,56,30,0.651162790697674,FALSE,"FIL30_534",TRUE,"FIL30_534_M2",38.6591415939853,"Self"
"185","FIL30_536","FIL30_536_M2","FIL30.536.M2","FIL30_536|FIL30_536_M2|FIL30.536.M2",79,23,56,67,27,40,55,30,25,FALSE,FALSE,52,30,22,0.576923076923077,FALSE,"FIL30_536",TRUE,"FIL30_536_M2",47.032325787414,"Self"
"308","FIL30_537","FIL30_537_M2","FIL30.537.M2","FIL30_537|FIL30_537_M2|FIL30.537.M2",77,34,43,61,18,43,23,20,3,FALSE,FALSE,42,28,14,0.666666666666667,FALSE,"FIL30_537",TRUE,"FIL30_537_M2",45.4505167030761,"Self"
"465","FIL30_538","FIL30_538_M2","FIL30.538.M2","FIL30_538|FIL30_538_M2|FIL30.538.M2",130,30,100,116,NA,116,80,80,NA,FALSE,FALSE,95,95,NA,1,TRUE,NA,FALSE,"FIL30_538_M2",47.0735513911889,"Cross"
"654","FIL30_54","FIL30_54_M2","FIL30_54_M2-2","FIL30_54|FIL30_54_M2|FIL30_54_M2-2",72,15,57,70,22,48,62,42,20,FALSE,FALSE,55,36,19,0.654545454545455,FALSE,"FIL30_54",TRUE,"FIL30_54_M2_2",32.3503654013551,"Self"
"350","FIL30_540","FIL30_540_M2","FIL30.540.M2","FIL30_540|FIL30_540_M2|FIL30.540.M2",146,40,106,125,27,98,103,79,24,FALSE,FALSE,94,71,23,0.75531914893617,FALSE,"FIL30_540",TRUE,"FIL30_540_M2",45.1873869277686,"Self"
"2090","FIL30_541","FIL30_541_M2","FIL30.541.M2","FIL30_541|FIL30_541_M2|FIL30.541.M2",70,24,46,67,35,32,28,14,14,FALSE,FALSE,45,19,26,0.422222222222222,FALSE,"FIL30_541",TRUE,"FIL30_541_M2",49.3607315385246,"Self"
"489","FIL30_542","FIL30_542_M2","FIL30.542.M2","FIL30_542|FIL30_542_M2|FIL30.542.M2",86,26,60,72,17,55,30,22,8,FALSE,FALSE,53,36,17,0.679245283018868,FALSE,"FIL30_542",TRUE,"FIL30_542_M2",40.948768649481,"Self"
"25","FIL30_543","FIL30_543_M2","FIL30.543.M2","FIL30_543|FIL30_543_M2|FIL30.543.M2",97,18,79,78,14,64,43,36,7,FALSE,FALSE,66,53,13,0.803030303030303,FALSE,"FIL30_543",TRUE,"FIL30_543_M2",61.8506446367927,"Self"
"914","FIL30_544","FIL30_544_M2","FIL30.544.M2","FIL30_544|FIL30_544_M2|FIL30.544.M2",139,43,96,124,16,108,105,91,14,FALSE,FALSE,89,73,16,0.820224719101124,FALSE,"FIL30_544",TRUE,"FIL30_544_M2",42.6938943764124,"Self"
"838","FIL30_545","FIL30_545_M2","FIL30.545.M2","FIL30_545|FIL30_545_M2|FIL30.545.M2",109,32,77,95,31,64,82,51,31,FALSE,FALSE,74,44,30,0.594594594594595,FALSE,"FIL30_545",TRUE,"FIL30_545_M2",58.560829906067,"Self"
"541","FIL30_546","FIL30_546_M2","FIL30.546.M2","FIL30_546|FIL30_546_M2|FIL30.546.M2",97,24,73,93,24,69,84,60,24,FALSE,FALSE,71,51,20,0.71830985915493,FALSE,"FIL30_546",TRUE,"FIL30_546_M2",60.1695416418598,"Self"
"2004","FIL30_547","FIL30_547_M2","FIL30.547.M2","FIL30_547|FIL30_547_M2|FIL30.547.M2",81,15,66,77,36,41,69,35,34,FALSE,FALSE,63,31,32,0.492063492063492,FALSE,"FIL30_547",TRUE,"FIL30_547_M2",61.0875160934269,"Self"
"667","FIL30_548","FIL30_548_M2","FIL30.548.M2","FIL30_548|FIL30_548_M2|FIL30.548.M2",89,19,70,76,18,58,67,49,18,FALSE,FALSE,59,42,17,0.711864406779661,FALSE,"FIL30_548",TRUE,"FIL30_548_M2",45.2806776246963,"Self"
"666","FIL30_55","FIL30_55_M2","FIL30_55_M2-2","FIL30_55|FIL30_55_M2|FIL30_55_M2-2",91,13,78,82,32,50,76,46,30,FALSE,FALSE,73,45,28,0.616438356164384,FALSE,"FIL30_55",TRUE,"FIL30_55_M2_2",38.531583368887,"Self"
"534","FIL30_550","FIL30_550_M2","FIL30.550.M2","FIL30_550|FIL30_550_M2|FIL30.550.M2",177,64,113,146,1,145,114,114,NA,FALSE,FALSE,104,104,NA,1,TRUE,NA,FALSE,"FIL30_550_M2",44.9657581317244,"Cross"
"461","FIL30_551","FIL30_551_M2","FIL30.551.M2","FIL30_551|FIL30_551_M2|FIL30.551.M2",90,11,79,86,34,52,72,43,29,FALSE,FALSE,78,45,33,0.576923076923077,FALSE,"FIL30_551",TRUE,"FIL30_551_M2",59.1947914197694,"Self"
"874","FIL30_552","FIL30_552_M2","FIL30.552.M2","FIL30_552|FIL30_552_M2|FIL30.552.M2",97,25,72,86,2,84,55,55,NA,FALSE,FALSE,69,68,1,0.985507246376812,FALSE,NA,FALSE,"FIL30_552_M2",50.7395866060672,"Ambiguous"
"451","FIL30_553","FIL30_553_M2","FIL30.553.M2","FIL30_553|FIL30_553_M2|FIL30.553.M2",84,15,69,78,20,58,67,49,18,FALSE,FALSE,67,47,20,0.701492537313433,FALSE,"FIL30_553",TRUE,"FIL30_553_M2",52.2869239295947,"Self"
"132","FIL30_554","FIL30_554_M2","FIL30.554.M2","FIL30_554|FIL30_554_M2|FIL30.554.M2",94,14,80,83,40,43,51,25,26,FALSE,FALSE,73,34,39,0.465753424657534,FALSE,"FIL30_554",TRUE,"FIL30_554_M2",59.5390537856842,"Self"
"689","FIL30_555","FIL30_555_M2","FIL30.555.M2","FIL30_555|FIL30_555_M2|FIL30.555.M2",105,22,83,94,20,74,84,65,19,FALSE,FALSE,79,59,20,0.746835443037975,FALSE,"FIL30_555",TRUE,"FIL30_555_M2",55.3752069125972,"Self"
"530","FIL30_556","FIL30_556_M2","FIL30.556.M2","FIL30_556|FIL30_556_M2|FIL30.556.M2",91,8,83,82,21,61,70,49,21,FALSE,FALSE,74,53,21,0.716216216216216,FALSE,"FIL30_556",TRUE,"FIL30_556_M2",55.3922434580352,"Self"
"27","FIL30_557","FIL30_557_M2","FIL30.557.M2","FIL30_557|FIL30_557_M2|FIL30.557.M2",85,24,61,81,27,54,41,30,11,FALSE,FALSE,59,36,23,0.610169491525424,FALSE,"FIL30_557",TRUE,"FIL30_557_M2",44.7986326047266,"Self"
"486","FIL30_558","FIL30_558_M2","FIL30.558.M2","FIL30_558|FIL30_558_M2|FIL30.558.M2",72,12,60,70,18,52,65,47,18,FALSE,FALSE,59,42,17,0.711864406779661,FALSE,"FIL30_558",TRUE,"FIL30_558_M2",49.8326720519015,"Self"
"1746","FIL30_559","FIL30_559_M2","FIL30.559.M2","FIL30_559|FIL30_559_M2|FIL30.559.M2",84,21,63,73,29,44,35,19,16,FALSE,FALSE,57,29,28,0.508771929824561,FALSE,"FIL30_559",TRUE,"FIL30_559_M2",54.7004675025238,"Self"
"286","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"287","FIL30_56","FIL30_56_C_M2","Fil30_56_C_M2_1","FIL30_56|FIL30_56_C_M2|Fil30_56_C_M2_1",86,10,76,78,13,65,11,10,1,TRUE,FALSE,68,55,13,0.808823529411765,FALSE,"FIL30_56",TRUE,"FIL30_56_C_M2_1",56.4051244018114,"Self"
"3252","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"288","FIL30_56","FIL30_56_F_M2","Fil30_56_F_M2_1","FIL30_56|FIL30_56_F_M2|Fil30_56_F_M2_1",85,15,70,75,NA,75,17,17,NA,TRUE,FALSE,67,67,NA,1,TRUE,NA,FALSE,"FIL30_56_F_M2_1",64.2766273300636,"Cross"
"1059","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"2374","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"289","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross"
"141","FIL30_560","FIL30_560_M2","FIL30.560.M2","FIL30_560|FIL30_560_M2|FIL30.560.M2",122,40,82,114,34,80,106,75,31,FALSE,FALSE,80,48,32,0.6,FALSE,"FIL30_560",TRUE,"FIL30_560_M2",63.4703025562592,"Self"
"777","FIL30_561","FIL30_561_M2","FIL30.561.M2","FIL30_561|FIL30_561_M2|FIL30.561.M2",115,29,86,103,24,79,92,70,22,FALSE,FALSE,82,60,22,0.731707317073171,FALSE,"FIL30_561",TRUE,"FIL30_561_M2",74.371646993224,"Self"
"171","FIL30_562","FIL30_562_M2","FIL30.562.M2","FIL30_562|FIL30_562_M2|FIL30.562.M2",102,29,73,95,40,55,83,47,36,FALSE,FALSE,71,42,29,0.591549295774648,FALSE,"FIL30_562",TRUE,"FIL30_562_M2",52.8229188196181,"Self"
"718","FIL30_563","FIL30_563_M2","FIL30.563.M2","FIL30_563|FIL30_563_M2|FIL30.563.M2",94,21,73,86,22,64,70,52,18,FALSE,FALSE,71,50,21,0.704225352112676,FALSE,"FIL30_563",TRUE,"FIL30_563_M2",63.9261370464631,"Self"
"1743","FIL30_564","FIL30_564_M2","FIL30.564.M2","FIL30_564|FIL30_564_M2|FIL30.564.M2",103,23,80,86,44,42,72,30,42,FALSE,FALSE,70,27,43,0.385714285714286,FALSE,"FIL30_564",TRUE,"FIL30_564_M2",37.7733481740835,"Self"
"851","FIL30_565","FIL30_565_M2","FIL30.565.M2","FIL30_565|FIL30_565_M2|FIL30.565.M2",91,18,73,83,26,57,73,48,25,FALSE,FALSE,67,44,23,0.656716417910448,FALSE,"FIL30_565",TRUE,"FIL30_565_M2",51.8222313062903,"Self"
"948","FIL30_566","FIL30_566_M2","FIL30.566.M2","FIL30_566|FIL30_566_M2|FIL30.566.M2",121,23,98,110,1,109,72,71,1,FALSE,FALSE,90,89,1,0.988888888888889,FALSE,NA,FALSE,"FIL30_566_M2",51.4577899856181,"Ambiguous"
"850","FIL30_567","FIL30_567_M2","FIL30.567.M2","FIL30_567|FIL30_567_M2|FIL30.567.M2",124,33,91,85,26,59,46,32,14,FALSE,FALSE,63,40,23,0.634920634920635,FALSE,"FIL30_567",TRUE,"FIL30_567_M2",42.9314007787431,"Self"
"1757","FIL30_568","FIL30_568_M2","FIL30.568.M2","FIL30_568|FIL30_568_M2|FIL30.568.M2",115,24,91,105,NA,105,58,58,NA,FALSE,FALSE,90,90,NA,1,TRUE,NA,FALSE,"FIL30_568_M2",53.2392739395159,"Cross"
"864","FIL30_569","FIL30_569_M2","FIL30.569.M2","FIL30_569|FIL30_569_M2|FIL30.569.M2",55,8,47,55,27,28,48,27,21,FALSE,FALSE,47,21,26,0.446808510638298,FALSE,"FIL30_569",TRUE,"FIL30_569_M2",68.4661488799388,"Self"
"190","FIL30_57","FIL30_57_M2","FIL30_57_M2-2","FIL30_57|FIL30_57_M2|FIL30_57_M2-2",77,9,68,72,25,47,67,43,24,FALSE,FALSE,65,41,24,0.630769230769231,FALSE,"FIL30_57",TRUE,"FIL30_57_M2_2",45.3284148084299,"Self"
"1946","FIL30_570","FIL30_570_M2","FIL30.570.M2","FIL30_570|FIL30_570_M2|FIL30.570.M2",118,29,89,102,23,79,90,70,20,FALSE,FALSE,82,62,20,0.75609756097561,FALSE,"FIL30_570",TRUE,"FIL30_570_M2",50.7025710205256,"Self"
"901","FIL30_572","FIL30_572_M2","FIL30.572.M2","FIL30_572|FIL30_572_M2|FIL30.572.M2",177,34,143,137,NA,137,91,91,NA,FALSE,FALSE,115,115,NA,1,TRUE,NA,FALSE,"FIL30_572_M2",67.7776239972865,"Cross"
"29","FIL30_573","FIL30_573_M2","FIL30.573.M2","FIL30_573|FIL30_573_M2|FIL30.573.M2",129,47,82,109,25,84,94,70,24,FALSE,FALSE,78,55,23,0.705128205128205,FALSE,"FIL30_573",TRUE,"FIL30_573_M2",56.9307770642823,"Self"
"648","FIL30_574","FIL30_574_M2","FIL30.574.M2","FIL30_574|FIL30_574_M2|FIL30.574.M2",105,42,63,88,15,73,74,64,10,FALSE,FALSE,59,49,10,0.830508474576271,FALSE,"FIL30_574",TRUE,"FIL30_574_M2",56.711003520188,"Self"
"250","FIL30_575","FIL30_575_M2","FIL30.575.M2","FIL30_575|FIL30_575_M2|FIL30.575.M2",149,42,107,138,34,104,118,88,30,FALSE,FALSE,105,76,29,0.723809523809524,FALSE,"FIL30_575",TRUE,"FIL30_575_M2",55.2605613826201,"Self"
"1420","FIL30_577","FIL30_577_M2","FIL30.577.M2","FIL30_577|FIL30_577_M2|FIL30.577.M2",117,42,75,101,19,82,88,73,15,FALSE,FALSE,73,58,15,0.794520547945205,FALSE,"FIL30_577",TRUE,"FIL30_577_M2",58.4109546803287,"Self"
"3295","FIL30_578","FIL30_578_M2","FIL30.578.M2","FIL30_578|FIL30_578_M2|FIL30.578.M2",111,24,87,80,19,61,44,30,14,FALSE,FALSE,62,43,19,0.693548387096774,FALSE,"FIL30_578",TRUE,"FIL30_578_M2",50.5857068224178,"Self"
"136","FIL30_579","FIL30_579_M2","FIL30.579.M2","FIL30_579|FIL30_579_M2|FIL30.579.M2",137,25,112,128,36,92,113,83,30,FALSE,FALSE,109,78,31,0.715596330275229,FALSE,"FIL30_579",TRUE,"FIL30_579_M2",50.9921426311145,"Self"
"1839","FIL30_58","FIL30_58_M2","FIL30_58_M2-2","FIL30_58|FIL30_58_M2|FIL30_58_M2-2",103,15,88,95,9,86,81,73,8,FALSE,FALSE,82,73,9,0.890243902439024,FALSE,"FIL30_58",TRUE,"FIL30_58_M2_2",54.1387054364962,"Self"
"1934","FIL30_580","FIL30_580_M2","FIL30.580.M2","FIL30_580|FIL30_580_M2|FIL30.580.M2",111,26,85,96,18,78,80,64,16,FALSE,FALSE,79,61,18,0.772151898734177,FALSE,"FIL30_580",TRUE,"FIL30_580_M2",57.545488399471,"Self"
"902","FIL30_581","FIL30_581_M2","FIL30.581.M2","FIL30_581|FIL30_581_M2|FIL30.581.M2",119,51,68,94,15,79,46,40,6,FALSE,FALSE,61,47,14,0.770491803278688,FALSE,"FIL30_581",TRUE,"FIL30_581_M2",42.5623292840293,"Self"
"673","FIL30_583","FIL30_583_M2","FIL30.583.M2","FIL30_583|FIL30_583_M2|FIL30.583.M2",88,16,72,81,29,52,74,48,26,FALSE,FALSE,70,44,26,0.628571428571429,FALSE,"FIL30_583",TRUE,"FIL30_583_M2",60.6610079639743,"Self"
"528","FIL30_584","FIL30_584_M2","FIL30.584.M2","FIL30_584|FIL30_584_M2|FIL30.584.M2",116,40,76,84,40,44,58,25,33,FALSE,FALSE,59,25,34,0.423728813559322,FALSE,"FIL30_584",TRUE,"FIL30_584_M2",40.0594008230963,"Self"
"159","FIL30_585","FIL30_585_M2","FIL30.585.M2","FIL30_585|FIL30_585_M2|FIL30.585.M2",123,32,91,119,27,92,111,85,26,FALSE,FALSE,90,66,24,0.733333333333333,FALSE,"FIL30_585",TRUE,"FIL30_585_M2",59.2807831839946,"Self"
"1341","FIL30_586","FIL30_586_M2","FIL30.586.M2","FIL30_586|FIL30_586_M2|FIL30.586.M2",161,55,106,150,NA,150,82,82,NA,FALSE,FALSE,103,103,NA,1,TRUE,NA,FALSE,"FIL30_586_M2",53.6203122211624,"Cross"
"1201","FIL30_587","FIL30_587_M2","FIL30.587.M2","FIL30_587|FIL30_587_M2|FIL30.587.M2",94,29,65,89,19,70,77,58,19,FALSE,FALSE,64,46,18,0.71875,FALSE,"FIL30_587",TRUE,"FIL30_587_M2",54.825118173529,"Self"
