"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"467","FIL30_341","FIL30_341_M2","FIL30.341.M2","FIL30_341|FIL30_341_M2|FIL30.341.M2",104,29,75,90,36,54,76,44,32,FALSE,FALSE,70,38,32,0.542857142857143,FALSE,"FIL30_341",TRUE,"FIL30_341_M2",53.8490250598706,"Self"
"2407","FIL30_342","FIL30_342_M2","FIL30.342.M2","FIL30_342|FIL30_342_M2|FIL30.342.M2",153,75,78,135,37,98,99,63,36,FALSE,FALSE,78,44,34,0.564102564102564,FALSE,"FIL30_342",TRUE,"FIL30_342_M2",40.4860036613734,"Self"
"2952","FIL30_343","FIL30_343_M2","FIL30.343.M2","FIL30_343|FIL30_343_M2|FIL30.343.M2",82,11,71,74,29,45,20,14,6,FALSE,FALSE,67,41,26,0.611940298507463,FALSE,"FIL30_343",TRUE,"FIL30_343_M2",68.7034932963292,"Self"
"1397","FIL30_344","FIL30_344_M2","FIL30.344.M2","FIL30_344|FIL30_344_M2|FIL30.344.M2",90,38,52,72,31,41,11,9,2,FALSE,FALSE,46,20,26,0.434782608695652,FALSE,"FIL30_344",TRUE,"FIL30_344_M2",44.7593891779478,"Self"
"394","FIL30_345","FIL30_345_M2","FIL30.345.M2","FIL30_345|FIL30_345_M2|FIL30.345.M2",147,44,103,132,25,107,118,96,22,FALSE,FALSE,94,77,17,0.819148936170213,FALSE,"FIL30_345",TRUE,"FIL30_345_M2",57.5108038672009,"Self"
"2898","FIL30_346","FIL30_346_M2","FIL30.346.M2","FIL30_346|FIL30_346_M2|FIL30.346.M2",87,19,68,74,6,68,18,16,2,FALSE,FALSE,62,56,6,0.903225806451613,FALSE,NA,FALSE,"FIL30_346_M2",50.0141342700332,"Ambiguous"
"2450","FIL30_347","FIL30_347_M2","FIL30.347.M2","FIL30_347|FIL30_347_M2|FIL30.347.M2",131,75,56,97,23,74,16,16,NA,TRUE,FALSE,53,33,20,0.622641509433962,FALSE,"FIL30_347",TRUE,"FIL30_347_M2",46.198327234675,"Self"
"2451","FIL30_347","FIL30_347_M2dup","FIL30.347.M2dup","FIL30_347|FIL30_347_M2dup|FIL30.347.M2dup",69,9,60,65,21,44,8,7,1,TRUE,FALSE,57,36,21,0.631578947368421,FALSE,"FIL30_347",TRUE,"FIL30_347_M2dup",51.0417919695202,"Self"
"2600","FIL30_348","FIL30_348_M2","FIL30.348.M2","FIL30_348|FIL30_348_M2|FIL30.348.M2",106,32,74,98,15,83,82,68,14,FALSE,FALSE,69,54,15,0.782608695652174,FALSE,"FIL30_348",TRUE,"FIL30_348_M2",39.3225407838347,"Self"
"2421","FIL30_35","FIL30_35_M2","FIL30_35_M2-2","FIL30_35|FIL30_35_M2|FIL30_35_M2-2",75,13,62,73,29,44,70,43,27,FALSE,FALSE,60,33,27,0.55,FALSE,"FIL30_35",TRUE,"FIL30_35_M2_2",42.099902646129,"Self"
"351","FIL30_350","FIL30_350_M2","FIL30.350.M2","FIL30_350|FIL30_350_M2|FIL30.350.M2",159,38,121,148,NA,148,131,131,NA,FALSE,FALSE,117,117,NA,1,TRUE,NA,FALSE,"FIL30_350_M2",47.792009813345,"Cross"
