"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","minTest","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL20_161_F_M214",16,15,"FIL20_161_F_M2","FIL20_161_E_M2",7,0,2,0,22,24,42,49,9,91,45.5,0.197802197802198,13.5,7.07142857142857,19.8832417582418,21.8333333333333,"FIL20_161",NA,"FIL20_161",NA,7.07142857142857,"...","FIL20_161","FIL20_161_F_M2","Fil20_161_F_M2_1","FIL20_161|FIL20_161_F_M2|Fil20_161_F_M2_1",49,12,37,44,2,42,20,20,NA,TRUE,FALSE,36,34,2,0.944444444444444,FALSE,NA,FALSE,"FIL20_161_F_M2_1",54.4809977632488,"Ambiguous","...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross"
"FIL20_66_D_M241",43,42,"FIL20_66_D_M2","FIL20_66_C_M2",8,1,0,0,35,18,55,36,9,91,45.5,0.197802197802198,5.5,14.9909090909091,20.4766483516484,19.3828282828283,"FIL20_66",NA,"FIL20_66","FIL20_66",5.5,"...","FIL20_66","FIL20_66_D_M2","Fil20_66_D_M2_1","FIL20_66|FIL20_66_D_M2|Fil20_66_D_M2_1",64,9,55,57,NA,57,20,20,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_D_M2_1",92.8383482262631,"Cross","...","FIL20_66","FIL20_66_C_M2","Fil20_66_C_M2_1","FIL20_66|FIL20_66_C_M2|Fil20_66_C_M2_1",38,7,31,37,3,34,18,18,NA,TRUE,FALSE,30,27,3,0.9,FALSE,"FIL20_66",TRUE,"FIL20_66_C_M2_1",44.791089671113,"Self"
"FIL30_43_A_M247",367,48,"FIL30_43_A_M2","FIL20_97_C_M2",3,3,0,0,8,27,27,35,6,62,31,0.193548387096774,7.81428571428571,8.5,13.8629032258065,20.1809523809524,"FIL30_43",NA,"FIL20_97","FIL20_97",7.81428571428571,"...","FIL30_43","FIL30_43_A_M2","Fil30_43_A_M2_1","FIL30_43|FIL30_43_A_M2|Fil30_43_A_M2_1",36,2,34,35,NA,35,19,19,NA,TRUE,FALSE,26,26,NA,1,TRUE,NA,FALSE,"FIL30_43_A_M2_1",59.6832281434657,"Cross","...","FIL20_97","FIL20_97_C_M2","Fil20_97_C_M2_1","FIL20_97|FIL20_97_C_M2|Fil20_97_C_M2_1",38,4,34,36,9,27,8,8,NA,TRUE,FALSE,33,24,9,0.727272727272727,FALSE,"FIL20_97",TRUE,"FIL20_97_C_M2_1",56.6952431377555,"Self"
"FIL30_198_M218",146,19,"FIL30_198_M2","FIL20_161_I_M2",4,6,0,0,12,21,71,33,10,104,52,0.192307692307692,4.5,28.1760563380282,24.0769230769231,37.4204011950491,"FIL30_198",NA,"FIL20_161","FIL20_161",4.5,"...","FIL30_198","FIL30_198_M2","FIL30_198_M2-3","FIL30_198|FIL30_198_M2|FIL30_198_M2-3",78,17,61,72,NA,72,54,54,NA,FALSE,FALSE,58,58,NA,1,TRUE,NA,FALSE,"FIL30_198_M2_3",45.6615354941249,"Cross","...","FIL20_161","FIL20_161_I_M2","Fil20_161_I_M2_1","FIL20_161|FIL20_161_I_M2|Fil20_161_I_M2_1",35,2,33,34,6,28,12,12,NA,TRUE,FALSE,32,26,6,0.8125,FALSE,"FIL20_161",TRUE,"FIL20_161_I_M2_1",51.1738566504567,"Self"
"FIL30_756_M2650",661,651,"FIL30_756_M2","FIL30_745_M2",10,7,0,0,30,28,108,70,17,178,89,0.191011235955056,9.48571428571428,36.7777777777778,39.4241573033708,53.7089947089947,"FIL30_756",NA,"FIL30_745","FIL30_745",9.48571428571428,"...","FIL30_756","FIL30_756_M2","FIL30.756.M2","FIL30_756|FIL30_756_M2|FIL30.756.M2",116,22,94,110,NA,110,75,75,NA,FALSE,FALSE,92,92,NA,1,TRUE,NA,FALSE,"FIL30_756_M2",62.2897105916755,"Cross","...","FIL30_745","FIL30_745_M2","FIL30.745.M2","FIL30_745|FIL30_745_M2|FIL30.745.M2",77,12,65,71,14,57,39,35,4,FALSE,FALSE,62,49,13,0.790322580645161,FALSE,"FIL30_745",TRUE,"FIL30_745_M2",NA,"Self"
"FIL20_66_E_M241",44,42,"FIL20_66_E_M2","FIL20_66_C_M2",7,2,0,0,26,18,60,36,9,96,48,0.1875,4.75,18.45,21.5625,24.3555555555556,"FIL20_66",NA,"FIL20_66","FIL20_66",4.75,"...","FIL20_66","FIL20_66_E_M2","Fil20_66_E_M2_1","FIL20_66|FIL20_66_E_M2|Fil20_66_E_M2_1",74,21,53,62,NA,62,31,31,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_E_M2_1",79.8706641981041,"Cross","...","FIL20_66","FIL20_66_C_M2","Fil20_66_C_M2_1","FIL20_66|FIL20_66_C_M2|Fil20_66_C_M2_1",38,7,31,37,3,34,18,18,NA,TRUE,FALSE,30,27,3,0.9,FALSE,"FIL20_66",TRUE,"FIL20_66_C_M2_1",44.791089671113,"Self"
"FIL30_43_A_M245",367,46,"FIL30_43_A_M2","FIL20_97_A_M2",5,1,0,0,8,30,27,37,6,64,32,0.1875,8.68918918918919,6.27777777777778,14.53125,15.2032032032032,"FIL30_43",NA,"FIL20_97","FIL20_97",6.27777777777778,"...","FIL30_43","FIL30_43_A_M2","Fil30_43_A_M2_1","FIL30_43|FIL30_43_A_M2|Fil30_43_A_M2_1",36,2,34,35,NA,35,19,19,NA,TRUE,FALSE,26,26,NA,1,TRUE,NA,FALSE,"FIL30_43_A_M2_1",59.6832281434657,"Cross","...","FIL20_97","FIL20_97_A_M2","Fil20_97_A_M2_1","FIL20_97|FIL20_97_A_M2|Fil20_97_A_M2_1",46,13,33,38,5,33,7,7,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_97",TRUE,"FIL20_97_A_M2_1",69.7598781168918,"Self"
"FIL30_474_M2413",413,414,"FIL30_474_M2","FIL30_475_M2",15,1,0,0,25,35,121,50,16,171,85.5,0.187134502923977,6.62,36.0785123966942,40.0899122807018,38.2190082644628,"FIL30_474",NA,"FIL30_475","FIL30_475",6.62,"...","FIL30_474","FIL30_474_M2","FIL30.474.M2","FIL30_474|FIL30_474_M2|FIL30.474.M2",147,60,87,124,1,123,84,84,NA,FALSE,FALSE,86,86,NA,1,TRUE,NA,FALSE,"FIL30_474_M2",62.232698015082,"Cross","...","FIL30_475","FIL30_475_M2","FIL30.475.M2","FIL30_475|FIL30_475_M2|FIL30.475.M2",62,8,54,52,7,45,13,12,1,FALSE,FALSE,47,41,6,0.872340425531915,FALSE,"FIL30_475",TRUE,"FIL30_475_M2",53.8337080755005,"Self"
"FIL30_43_A_M250",367,51,"FIL30_43_A_M2","FIL20_97_I_M2",3,4,0,0,8,32,27,49,7,76,38,0.184210526315789,13.0102040816327,8.5,17.7368421052632,27.0340136054422,"FIL30_43",NA,"FIL20_97","FIL20_97",8.5,"...","FIL30_43","FIL30_43_A_M2","Fil30_43_A_M2_1","FIL30_43|FIL30_43_A_M2|Fil30_43_A_M2_1",36,2,34,35,NA,35,19,19,NA,TRUE,FALSE,26,26,NA,1,TRUE,NA,FALSE,"FIL30_43_A_M2_1",59.6832281434657,"Cross","...","FIL20_97","FIL20_97_I_M2","Fil20_97_I_M2_1","FIL20_97|FIL20_97_I_M2|Fil20_97_I_M2_1",59,10,49,51,8,43,16,16,NA,TRUE,FALSE,45,37,8,0.822222222222222,FALSE,"FIL20_97",TRUE,"FIL20_97_I_M2_1",63.0256962480049,"Self"
"FIL20_161_C_M214",13,15,"FIL20_161_C_M2","FIL20_161_E_M2",3,0,5,0,17,24,38,49,8,87,43.5,0.183908045977011,19.0510204081633,7.6578947368421,20.6939655172414,32.3410311493018,"FIL20_161",NA,"FIL20_161",NA,7.6578947368421,"...","FIL20_161","FIL20_161_C_M2","Fil20_161_C_M2_1","FIL20_161|FIL20_161_C_M2|Fil20_161_C_M2_1",43,8,35,39,5,34,20,20,NA,TRUE,FALSE,33,31,2,0.939393939393939,FALSE,NA,FALSE,"FIL20_161_C_M2_1",45.3407512424041,"Ambiguous","...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross"
"FIL20_161_E_M212",15,13,"FIL20_161_E_M2","FIL20_161_C_M2",3,5,0,0,24,17,49,38,8,87,43.5,0.183908045977011,7.6578947368421,19.0510204081633,20.6939655172414,32.3410311493018,"FIL20_161",NA,"FIL20_161",NA,7.6578947368421,"...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross","...","FIL20_161","FIL20_161_C_M2","Fil20_161_C_M2_1","FIL20_161|FIL20_161_C_M2|Fil20_161_C_M2_1",43,8,35,39,5,34,20,20,NA,TRUE,FALSE,33,31,2,0.939393939393939,FALSE,NA,FALSE,"FIL20_161_C_M2_1",45.3407512424041,"Ambiguous"
"FIL20_161_E_M213",15,14,"FIL20_161_E_M2","FIL20_161_D_M2",8,0,0,0,24,21,49,38,8,87,43.5,0.183908045977011,8.05263157894737,12.4183673469388,21.0387931034483,17.4806659505908,"FIL20_161",NA,"FIL20_161","FIL20_161",8.05263157894737,"...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross","...","FIL20_161","FIL20_161_D_M2","Fil20_161_D_M2_1","FIL20_161|FIL20_161_D_M2|Fil20_161_D_M2_1",44,12,32,39,7,32,15,13,2,TRUE,FALSE,31,24,7,0.774193548387097,FALSE,"FIL20_161",TRUE,"FIL20_161_D_M2_1",52.7499777250836,"Self"
"FIL30_56_F_M247",493,48,"FIL30_56_F_M2","FIL20_97_C_M2",6,4,0,0,57,27,74,35,10,109,54.5,0.18348623853211,3.32857142857143,26.4594594594595,24.618119266055,33.5301158301158,"FIL30_56",NA,"FIL20_97","FIL20_97",3.32857142857143,"...","FIL30_56","FIL30_56_F_M2","Fil30_56_F_M2_1","FIL30_56|FIL30_56_F_M2|Fil30_56_F_M2_1",85,15,70,75,NA,75,17,17,NA,TRUE,FALSE,67,67,NA,1,TRUE,NA,FALSE,"FIL30_56_F_M2_1",64.2766273300636,"Cross","...","FIL20_97","FIL20_97_C_M2","Fil20_97_C_M2_1","FIL20_97|FIL20_97_C_M2|Fil20_97_C_M2_1",38,4,34,36,9,27,8,8,NA,TRUE,FALSE,33,24,9,0.727272727272727,FALSE,"FIL20_97",TRUE,"FIL20_97_C_M2_1",56.6952431377555,"Self"
"FIL20_161_C_M219",13,20,"FIL20_161_C_M2","FIL20_161_J_M2",5,0,1,0,17,14,38,28,6,66,33,0.181818181818182,6.67857142857143,9.13157894736842,15.2045454545455,16.1015037593985,"FIL20_161",NA,"FIL20_161","FIL20_161",6.67857142857143,"...","FIL20_161","FIL20_161_C_M2","Fil20_161_C_M2_1","FIL20_161|FIL20_161_C_M2|Fil20_161_C_M2_1",43,8,35,39,5,34,20,20,NA,TRUE,FALSE,33,31,2,0.939393939393939,FALSE,NA,FALSE,"FIL20_161_C_M2_1",45.3407512424041,"Ambiguous","...","FIL20_161","FIL20_161_J_M2","Fil20_161_J_M2_1","FIL20_161|FIL20_161_J_M2|Fil20_161_J_M2_1",33,6,27,30,5,25,13,13,NA,TRUE,FALSE,26,21,5,0.807692307692308,FALSE,"FIL20_161",TRUE,"FIL20_161_J_M2_1",49.2630977835024,"Self"
"FIL30_28_M2229",220,230,"FIL30_28_M2","FIL30_29_M2",7,7,0,0,39,15,98,57,14,155,77.5,0.180645161290323,8.23684210526316,36.5,35.8153225806452,52.219298245614,"FIL30_28",NA,"FIL30_29","FIL30_29",8.23684210526316,"...","FIL30_28","FIL30_28_M2","FIL30_28_M2-2","FIL30_28|FIL30_28_M2|FIL30_28_M2-2",107,24,83,99,NA,99,55,55,NA,FALSE,FALSE,78,78,NA,1,TRUE,NA,FALSE,"FIL30_28_M2_2",25.4080730764514,"Cross","...","FIL30_29","FIL30_29_M2","FIL30_29_M2-2","FIL30_29|FIL30_29_M2|FIL30_29_M2-2",65,2,63,58,17,41,40,30,10,FALSE,FALSE,56,39,17,0.696428571428571,FALSE,"FIL30_29",TRUE,"FIL30_29_M2_2",38.8725754598404,"Self"
"FIL20_47_A_M2314",36,315,"FIL20_47_A_M2","FIL30_373_M2",10,0,2,0,29,22,35,100,12,135,67.5,0.177777777777778,33,2.75714285714286,31.425,35.2142857142857,"FIL20_47",NA,"FIL30_373",NA,2.75714285714286,"...","FIL20_47","FIL20_47_A_M2","Fil20_47_A_M2_1","FIL20_47|FIL20_47_A_M2|Fil20_47_A_M2_1",41,11,30,36,2,34,6,6,NA,TRUE,FALSE,29,27,2,0.931034482758621,FALSE,NA,FALSE,"FIL20_47_A_M2_1",45.1435609127825,"Ambiguous","...","FIL30_373","FIL30_373_M2","FIL30.373.M2","FIL30_373|FIL30_373_M2|FIL30.373.M2",118,40,78,100,NA,100,70,70,NA,FALSE,FALSE,77,77,NA,1,TRUE,NA,FALSE,"FIL30_373_M2",47.9449156838136,"Cross"
"FIL30_373_M235",315,36,"FIL30_373_M2","FIL20_47_A_M2",10,2,0,0,22,29,100,35,12,135,67.5,0.177777777777778,2.75714285714286,33,31.425,35.2142857142857,"FIL30_373",NA,"FIL20_47",NA,2.75714285714286,"...","FIL30_373","FIL30_373_M2","FIL30.373.M2","FIL30_373|FIL30_373_M2|FIL30.373.M2",118,40,78,100,NA,100,70,70,NA,FALSE,FALSE,77,77,NA,1,TRUE,NA,FALSE,"FIL30_373_M2",47.9449156838136,"Cross","...","FIL20_47","FIL20_47_A_M2","Fil20_47_A_M2_1","FIL20_47|FIL20_47_A_M2|Fil20_47_A_M2_1",41,11,30,36,2,34,6,6,NA,TRUE,FALSE,29,27,2,0.931034482758621,FALSE,NA,FALSE,"FIL20_47_A_M2_1",45.1435609127825,"Ambiguous"
"FIL30_305_M228",244,29,"FIL30_305_M2","FIL20_25_A_M2",8,4,0,0,19,33,87,49,12,136,68,0.176470588235294,6.37755102040816,29.7068965517241,31.2352941176471,40.0835092657753,"FIL30_305",NA,"FIL20_25","FIL20_25",6.37755102040816,"...","FIL30_305","FIL30_305_M2","FIL30_305_M2-4","FIL30_305|FIL30_305_M2|FIL30_305_M2-4",94,9,85,88,NA,88,67,67,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_305_M2_4",35.0642491077725,"Cross","...","FIL20_25","FIL20_25_A_M2","Fil20_25_A_M2_1","FIL20_25|FIL20_25_A_M2|Fil20_25_A_M2_1",59,5,54,50,14,36,15,13,2,TRUE,FALSE,45,34,11,0.755555555555556,FALSE,"FIL20_25",TRUE,"FIL20_25_A_M2_1",56.9388111234489,"Self"
"FIL30_43_A_M246",367,47,"FIL30_43_A_M2","FIL20_97_B_M2",5,1,0,0,8,28,27,42,6,69,34.5,0.173913043478261,10.9285714285714,6.27777777777778,16.2228260869565,17.542328042328,"FIL30_43",NA,"FIL20_97","FIL20_97",6.27777777777778,"...","FIL30_43","FIL30_43_A_M2","Fil30_43_A_M2_1","FIL30_43|FIL30_43_A_M2|Fil30_43_A_M2_1",36,2,34,35,NA,35,19,19,NA,TRUE,FALSE,26,26,NA,1,TRUE,NA,FALSE,"FIL30_43_A_M2_1",59.6832281434657,"Cross","...","FIL20_97","FIL20_97_B_M2","Fil20_97_B_M2_1","FIL20_97|FIL20_97_B_M2|Fil20_97_B_M2_1",62,12,50,43,11,32,13,13,NA,TRUE,FALSE,37,26,11,0.702702702702703,FALSE,"FIL20_97",TRUE,"FIL20_97_B_M2_1",62.2287158380449,"Self"
"FIL30_195_M2529",143,530,"FIL30_195_M2","FIL30_595_M2",17,0,0,0,27,25,89,109,17,198,99,0.171717171717172,28.454128440367,20.2415730337079,49.0075757575758,42.7971343160499,"FIL30_195",NA,"FIL30_595",NA,20.2415730337079,"...","FIL30_195","FIL30_195_M2","FIL30_195_M2-3","FIL30_195|FIL30_195_M2|FIL30_195_M2-3",100,12,88,90,NA,90,59,59,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_195_M2_3",30.9772206138489,"Cross","...","FIL30_595","FIL30_595_M2","FIL30.595.M2","FIL30_595|FIL30_595_M2|FIL30.595.M2",128,48,80,109,NA,109,77,77,NA,FALSE,FALSE,73,73,NA,1,TRUE,NA,FALSE,"FIL30_595_M2",52.743117404135,"Cross"
"FIL30_237_M2295",180,296,"FIL30_237_M2","FIL30_355_M2",17,0,0,0,52,32,81,117,17,198,99,0.171717171717172,31.9102564102564,17.2037037037037,49.0075757575758,43.0759734093067,"FIL30_237",NA,"FIL30_355",NA,17.2037037037037,"...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross","...","FIL30_355","FIL30_355_M2","FIL30.355.M2","FIL30_355|FIL30_355_M2|FIL30.355.M2",138,31,107,118,NA,118,78,78,NA,FALSE,FALSE,100,100,NA,1,TRUE,NA,FALSE,"FIL30_355_M2",55.635760260008,"Cross"
"FIL30_355_M2179",296,180,"FIL30_355_M2","FIL30_237_M2",17,0,0,0,32,52,117,81,17,198,99,0.171717171717172,17.2037037037037,31.9102564102564,49.0075757575758,43.0759734093067,"FIL30_355",NA,"FIL30_237",NA,17.2037037037037,"...","FIL30_355","FIL30_355_M2","FIL30.355.M2","FIL30_355|FIL30_355_M2|FIL30.355.M2",138,31,107,118,NA,118,78,78,NA,FALSE,FALSE,100,100,NA,1,TRUE,NA,FALSE,"FIL30_355_M2",55.635760260008,"Cross","...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross"
"FIL30_595_M2142",530,143,"FIL30_595_M2","FIL30_195_M2",17,0,0,0,25,27,109,89,17,198,99,0.171717171717172,20.2415730337079,28.454128440367,49.0075757575758,42.7971343160499,"FIL30_595",NA,"FIL30_195",NA,20.2415730337079,"...","FIL30_595","FIL30_595_M2","FIL30.595.M2","FIL30_595|FIL30_595_M2|FIL30.595.M2",128,48,80,109,NA,109,77,77,NA,FALSE,FALSE,73,73,NA,1,TRUE,NA,FALSE,"FIL30_595_M2",52.743117404135,"Cross","...","FIL30_195","FIL30_195_M2","FIL30_195_M2-3","FIL30_195|FIL30_195_M2|FIL30_195_M2-3",100,12,88,90,NA,90,59,59,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_195_M2_3",30.9772206138489,"Cross"
"FIL30_237_M233",180,34,"FIL30_237_M2","FIL20_25_I_M2",11,1,0,0,52,39,81,59,12,140,70,0.171428571428571,11.7542372881356,22.9814814814815,33.7714285714286,33.0893492362419,"FIL30_237",NA,"FIL20_25","FIL20_25",11.7542372881356,"...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross","...","FIL20_25","FIL20_25_I_M2","Fil20_25_I_M2_1","FIL20_25|FIL20_25_I_M2|Fil20_25_I_M2_1",69,4,65,60,18,42,19,16,3,TRUE,FALSE,56,38,18,0.678571428571429,FALSE,"FIL20_25",TRUE,"FIL20_25_I_M2_1",61.8181587370858,"Self"
"FIL20_128_A_M2135",7,136,"FIL20_128_A_M2","FIL30_188_M2",14,0,0,0,65,37,73,92,14,165,82.5,0.16969696969697,24.3913043478261,16.5547945205479,41.0022727272727,36.130732578916,"FIL20_128",NA,"FIL30_188",NA,16.5547945205479,"...","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross","...","FIL30_188","FIL30_188_M2","FIL30_188_M2-3","FIL30_188|FIL30_188_M2|FIL30_188_M2-3",100,23,77,93,NA,93,51,51,NA,FALSE,FALSE,75,75,NA,1,TRUE,NA,FALSE,"FIL30_188_M2_3",50.6734185549113,"Cross"
"FIL30_188_M26",136,7,"FIL30_188_M2","FIL20_128_A_M2",14,0,0,0,37,65,92,73,14,165,82.5,0.16969696969697,16.5547945205479,24.3913043478261,41.0022727272727,36.130732578916,"FIL30_188",NA,"FIL20_128",NA,16.5547945205479,"...","FIL30_188","FIL30_188_M2","FIL30_188_M2-3","FIL30_188|FIL30_188_M2|FIL30_188_M2-3",100,23,77,93,NA,93,51,51,NA,FALSE,FALSE,75,75,NA,1,TRUE,NA,FALSE,"FIL30_188_M2_3",50.6734185549113,"Cross","...","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross"
"FIL20_161_G_M213",17,14,"FIL20_161_G_M2","FIL20_161_D_M2",6,5,0,0,36,21,93,38,11,131,65.5,0.16793893129771,3.78947368421053,35.6612903225806,31.0639312977099,44.1689303904924,"FIL20_161",NA,"FIL20_161","FIL20_161",3.78947368421053,"...","FIL20_161","FIL20_161_G_M2","Fil20_161_G_M2_1","FIL20_161|FIL20_161_G_M2|Fil20_161_G_M2_1",104,17,87,95,NA,95,56,56,NA,TRUE,FALSE,83,83,NA,1,TRUE,NA,FALSE,"FIL20_161_G_M2_1",45.0053428097403,"Cross","...","FIL20_161","FIL20_161_D_M2","Fil20_161_D_M2_1","FIL20_161|FIL20_161_D_M2|Fil20_161_D_M2_1",44,12,32,39,7,32,15,13,2,TRUE,FALSE,31,24,7,0.774193548387097,FALSE,"FIL20_161",TRUE,"FIL20_161_D_M2_1",52.7499777250836,"Self"
"FIL20_128_A_M29",7,10,"FIL20_128_A_M2","FIL20_128_D_M2",10,2,0,0,65,52,73,71,12,144,72,0.166666666666667,16.0633802816901,20.6095890410959,34.5,37.556627435848,"FIL20_128",NA,"FIL20_128",NA,16.0633802816901,"...","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross","...","FIL20_128","FIL20_128_D_M2","Fil20_128_D_M2_1","FIL20_128|FIL20_128_D_M2|Fil20_128_D_M2_1",80,17,63,72,4,68,18,18,NA,TRUE,FALSE,57,53,4,0.929824561403509,FALSE,NA,FALSE,"FIL20_128_D_M2_1",77.0016670828544,"Ambiguous"
"FIL20_128_D_M26",10,7,"FIL20_128_D_M2","FIL20_128_A_M2",10,0,2,0,52,65,71,73,12,144,72,0.166666666666667,20.6095890410959,16.0633802816901,34.5,37.556627435848,"FIL20_128",NA,"FIL20_128",NA,16.0633802816901,"...","FIL20_128","FIL20_128_D_M2","Fil20_128_D_M2_1","FIL20_128|FIL20_128_D_M2|Fil20_128_D_M2_1",80,17,63,72,4,68,18,18,NA,TRUE,FALSE,57,53,4,0.929824561403509,FALSE,NA,FALSE,"FIL20_128_D_M2_1",77.0016670828544,"Ambiguous","...","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross"
"FIL30_186_M2195",134,196,"FIL30_186_M2","FIL30_254_M2",19,0,0,0,31,57,120,110,19,230,115,0.165217391304348,26.8454545454545,31.025,57.6673913043478,51.580303030303,"FIL30_186",NA,"FIL30_254",NA,26.8454545454545,"...","FIL30_186","FIL30_186_M2","FIL30_186_M2-3","FIL30_186|FIL30_186_M2|FIL30_186_M2-3",147,29,118,121,NA,121,77,77,NA,FALSE,FALSE,98,98,NA,1,TRUE,NA,FALSE,"FIL30_186_M2_3",32.0812568300314,"Cross","...","FIL30_254","FIL30_254_M2","FIL30_254_M2-4","FIL30_254|FIL30_254_M2|FIL30_254_M2-4",127,37,90,111,NA,111,50,50,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_254_M2_4",46.297651678234,"Cross"
"FIL30_254_M2133",196,134,"FIL30_254_M2","FIL30_186_M2",19,0,0,0,57,31,110,120,19,230,115,0.165217391304348,31.025,26.8454545454545,57.6673913043478,51.580303030303,"FIL30_254",NA,"FIL30_186",NA,26.8454545454545,"...","FIL30_254","FIL30_254_M2","FIL30_254_M2-4","FIL30_254|FIL30_254_M2|FIL30_254_M2-4",127,37,90,111,NA,111,50,50,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_254_M2_4",46.297651678234,"Cross","...","FIL30_186","FIL30_186_M2","FIL30_186_M2-3","FIL30_186|FIL30_186_M2|FIL30_186_M2-3",147,29,118,121,NA,121,77,77,NA,FALSE,FALSE,98,98,NA,1,TRUE,NA,FALSE,"FIL30_186_M2_3",32.0812568300314,"Cross"
"FIL30_113_M244",70,45,"FIL30_113_M2","FIL20_66_F_M2",4,5,0,0,11,22,71,38,9,109,54.5,0.165137614678899,6.21052631578947,28.1760563380282,26.5080275229358,39.79280948851,"FIL30_113",NA,"FIL20_66","FIL20_66",6.21052631578947,"...","FIL30_113","FIL30_113_M2","FIL30_113_M2-2","FIL30_113|FIL30_113_M2|FIL30_113_M2-2",84,12,72,72,NA,72,55,55,NA,FALSE,FALSE,62,62,NA,1,TRUE,NA,FALSE,"FIL30_113_M2_2",48.4915644168358,"Cross","...","FIL20_66","FIL20_66_F_M2","Fil20_66_F_M2_1","FIL20_66|FIL20_66_F_M2|Fil20_66_F_M2_1",43,6,37,39,5,34,15,15,NA,TRUE,FALSE,34,29,5,0.852941176470588,FALSE,"FIL20_66",TRUE,"FIL20_66_F_M2_1",61.5786972680514,"Self"
